"FBgn_mel" "CG" "logFC" "FDR"
"3" "FBgn0028396" "TotA" 4.38495957231804 9.13575868465667e-06
"4" "FBgn0028514" "CG4793" 2.30108649012868 0.0142933586322955
"7" "FBgn0030880" "CG6788" 4.70093122343085 4.55995406465947e-06
"8" "FBgn0031470" "CG18557" 2.88294472865112 6.97775415520014e-07
"9" "FBgn0031471" "CG3117" 3.61084923568098 4.84476473951482e-06
"11" "FBgn0032638" "SPH93" 3.88765751744858 8.12178107473428e-05
"16" "FBgn0034005" "ItgaPS4" 4.20646482587742 5.21459147426819e-06
"19" "FBgn0037386" "CG1208" 2.55211713978868 3.16000650370889e-07
"20" "FBgn0037396" "CG11459" 6.76968028976809 9.00538261942217e-07
"21" "FBgn0037477" "CG14610" 3.79756666171741 3.69540031781895e-07
"25" "FBgn0039759" "CG9733" 2.60972314930382 3.61132390021471e-07
"26" "FBgn0039798" "CG11313" 4.3545445630332 1.09682909169448e-07
"27" "FBgn0040104" "lectin-24A" 2.85004515662224 0.000536184978996693
"28" "FBgn0040582" "CG5791" 3.32035248096606 0.000369162965858421
"30" "FBgn0041183" "Tep1" 2.92183821263248 5.51083159190538e-09
"32" "FBgn0044812" "TotC" 4.42984001698187 1.10917599452487e-08
"34" "FBgn0050091" "CG30091" 2.25585234583163 0.0152823962208399
"37" "FBgn0053225" "CG33225" 3.56001429921928 7.05180340434787e-06
"40" "FBgn0053462" "CG33462" 5.46169147942039 9.65803882651029e-08
"42" "FBgn0085465" "CG34436" 2.80682864608249 0.00740766317741343
"44" "FBgn0261363" "PPO3" 4.16611759559004 1.95070063522621e-13
"45" "FBgn0262531" "CG43085" 2.83322127139888 1.89850574632099e-05
"46" "FBgn0262588" NA 2.10398553814963 0.000612037894323236
"47" "FBgn0262607" NA 4.45478753663583 1.00586463783058e-08
"48" "FBgn0262794" NA 2.02156764807041 0.0101747481971428
"49" "FBgn0262808" "CG43179" 2.22061598433219 7.05180340434787e-06
"51" "FBgn0265668" "CG44475" 4.31027938601977 0.000369162965858421
